sector,label,gross_output_bn,value_added_bn,final_demand_bn,va_share,domar_weight,final_demand_share,leontief_row_mult,domar_leontief_mult
SECURIT,"Securities, commodity contracts, and investments",723.0,512.0,461.7967728800415,0.0274825550187869,0.038808373590982284,0.02334944931103881,2.05973607877341,0.07993500724386342
INSURE,Insurance carriers and related activities,778.0,410.0,534.5174001113105,0.02200751476113795,0.04176060118089103,0.027026362401647484,1.9481963065699637,0.08135784898075317
FUNDS,"Funds, trusts, and other financial vehicles",117.0,88.0,93.14400982910061,0.0047235641438539986,0.006280193236714976,0.0047095637385418405,1.1125226815254334,0.006986857420208036
REALE,Real estate,2853.0,2483.0,2043.700044085865,0.13327965646806225,0.15314009661835748,0.10333391956973782,4.290231322660027,0.6570064392672601
RENTAL,Rental and leasing services,362.0,184.0,252.89169150693232,0.009876543209876543,0.01943102522812668,0.012786753998295828,1.5164030657739247,0.02946526622706177
LEGAL,Legal services,332.0,226.0,164.7039375162401,0.012130971551261407,0.017820719269994633,0.008327789335511319,1.554364222402925,0.02769988845076603
COMPDES,Computer systems design and related services,623.0,410.0,189.54139567428746,0.02200751476113795,0.03344068706387547,0.009583625245016521,2.279651298231063,0.07623310567890243
MISCPROF,"Misc. professional, scientific, and technical svcs",983.0,614.0,674.2590773147008,0.03295759527643586,0.05276435856146001,0.0340920055592442,2.2326155941979007,0.11780252974216512
MGMT,Management of companies and enterprises,462.0,257.0,276.36253628655527,0.01379495437466452,0.024798711755233495,0.013973490962807759,1.6436072598299538,0.04075934267533219
ADMIN,Administrative and support services,723.0,461.0,450.58119248352347,0.024745034889962426,0.038808373590982284,0.02278236517069467,1.9156809263469814,0.07434446107079266
WASTE,Waste management and remediation services,107.0,62.0,85.24663208867891,0.0033279656468062266,0.005743424584004294,0.0043102551420566865,1.1022054366021705,0.0063304338012040925
EDUC,Educational services,212.0,154.0,168.85952472419598,0.008266237251744498,0.011379495437466452,0.008537904863743848,1.2038243891368925,0.013698914143694106
AMBULAT,Ambulatory health care services,1153.0,717.0,885.3210776122568,0.038486312399355876,0.0618894256575416,0.04476375938441528,2.2074471091333216,0.13661763375366184
HOSPITAL,Hospitals,1163.0,665.0,898.1167304823146,0.03569511540526033,0.06242619431025228,0.045410735425905874,2.1750338231416158,0.1357790840748094
NURSING,Nursing and residential care facilities,277.0,164.0,220.89191403277667,0.00880300590445518,0.014868491680085883,0.01116877564509627,1.2654176142747093,0.018814851269677642
SOCIALAS,Social assistance,192.0,134.0,153.0284693520398,0.007192699946323135,0.010305958132045089,0.007737452269311294,1.1838978872734212,0.012201202058856515
PERFORM,"Performing arts, spectator sports, museums",91.0,52.0,72.47300830120913,0.0027911969940955447,0.004884594739667203,0.003664392938898152,1.0870712943226646,0.005309902725891705
AMUSE,"Amusements, gambling, and recreation industries",202.0,123.0,161.06133842804934,0.006602254428341385,0.01084272678475577,0.008143611602436861,1.1931814980362434,0.01293734098783259
ACCOMM,Accommodation,252.0,113.0,201.2003188981467,0.0060654857756307036,0.01352657004830918,0.010173125763045281,1.240094151763224,0.016774220410323806
FOODSVC,Food services and drinking places,943.0,461.0,713.799950453451,0.024745034889962426,0.050617283950617285,0.03609127811221046,2.1475370121686956,0.10870249073940312
OTHSVC,"Other services, except government",533.0,278.0,427.45459593318867,0.014922168545356952,0.028609769189479335,0.021613034145444826,1.5056171659545279,0.043075359605677044
FEDGOV,Federal general government,1313.0,921.0,1030.1202485829442,0.049436392914653786,0.0704777241009125,0.052085120427660954,2.296788037428375,0.16187239362015332
FEDGOVE,Federal government enterprises,127.0,72.0,101.21219705883564,0.003864734299516908,0.006816961889425657,0.005117508834341818,1.121239032725507,0.007643443755026269
SLGOV,State and local general government,1843.0,1329.0,1451.605625436431,0.0713365539452496,0.09892646269457864,0.07339633787252829,2.874974093329736,0.28441101739166413
SLGOVE,State and local government enterprises,322.0,154.0,257.52705541607133,0.008266237251744498,0.01728395061728395,0.013021128080123323,1.3058016466659366,0.02256941117694211
