sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,va_share,domar_weight,leontief_multiplier,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,bf_supply_contrib_pp,bf_demand_contrib_pp,bf_total_contrib_pp
PETRO,Petroleum and coal products,-31.657640504675495,-11.545275590551201,0.23960790110974695,-0.5474819168577789,0.008968958433199418,0.02765446407077499,2.468066459276546,-0.07666539163458264,-0.02688370523690294,-0.10354909687148557,1.6353971306154478,-0.5734730295815816,1.0619241010338663
MACH,Machinery,-2.0,-11.9391962056159,-0.0277567848224636,-0.15265773561795443,0.008490765526688045,0.021614153046346625,1.9644008401771138,-0.041505274752171986,-0.05986764080683621,-0.1013729155590082,-0.11785214520397386,-0.16999116231648106,-0.28784330752045495
SOCIALAS,Social assistance,-13.847939597655099,-15.5001490850019,0.06097865055154149,-0.39681521405991593,0.006456851697659666,0.00993726441722506,1.0008183705601665,-0.013662857823841662,-0.08641930610963078,-0.10008216393347243,0.060645687495824115,-0.38359165406707,-0.3229459665712459
FABMETAL,Fabricated metal products,-2.0,-11.8485860154466,-0.0273943440617864,-0.16810732519308247,0.00827093539633238,0.020791051377932957,2.587352277721862,-0.07644824700286108,-0.021550642468785026,-0.0979988894716461,-0.1473645157143796,-0.041541828822149365,-0.188906344536529
OILGAS,Oil and gas extraction,-30.0,-7.78340727297171,0.2481106181801886,-0.4556681454594342,0.011430667794592057,0.014160885938156823,2.756860308884494,-0.08896954284735131,-0.0,-0.08896954284735131,0.9686135414402793,-0.0,0.9686135414402793
HOSPITAL,Hospitals,-19.927136397424977,-3.56097510553346,0.15475917515508153,-0.31797053415869847,0.022856401192815474,0.04448724247856615,1.002377270149332,-0.027057046622702648,-0.05433402902699853,-0.08139107564970118,0.6901176001709848,-1.385844887012557,-0.6957272868415724
MISCMFG,Miscellaneous manufacturing,-36.35886584175253,-17.5918283789369,0.29322134490177776,-0.5395069422068943,0.004608171781750651,0.009268958643881511,1.2091781886209156,-0.04462766947836493,-0.03643849764685238,-0.08106616712521732,0.32863728230570927,-0.26833238163534257,0.06030490067036667
MINE_SUP,Support activities for mining,-5.0,-25.035980252698497,-0.07517990126349249,-0.4076568607528357,0.003097193082486364,0.004266811349821314,1.0878880363048642,-0.014272062062580375,-0.06326920278934262,-0.07754126485192299,-0.03489710445753403,-0.15470168003777615,-0.18959878449531017
BROADCAST,Broadcasting and telecommunications,-3.9715206337469637,-3.29872514501539,0.023221580612392687,-0.09469395875439282,0.022873477530810316,0.04689910889236995,1.956147182855,-0.03330661550034899,-0.04214669998447954,-0.07545331548482853,0.21303840249677,-0.2695820485005474,-0.056543646003777384
TRANSIT,Transit and ground passenger transportation,-80.0,-39.366535416035696,0.30791830729955383,-1.456108923600595,0.001902071193470807,0.003220054007799895,1.1147655451983653,-0.028274256159225186,-0.04660369684236462,-0.07487795300158981,0.11053051760172014,-0.182184482772309,-0.07165396517058885
MGMT,Management of companies and enterprises,-1.0,-3.6227951137966397,-0.008113975568983198,-0.06175421591138057,0.019751058039922484,0.034970399720480314,3.67980296514479,-0.06790642805135494,-0.0036476085079900733,-0.07155403655934502,-0.10441402973709424,-0.005608622249053109,-0.11002265198614734
LEGAL,Legal services,-1.5,-4.745164028611399,-0.003980656114445598,-0.08278805755159142,0.013411744772616916,0.017833462902820004,1.8107564045709188,-0.011559422817119323,-0.05208150603881943,-0.06364092885593876,-0.012854357480968295,-0.05791589315157788,-0.07077025063254617
TRUCK,Truck transportation,-16.505899085211244,-7.195636278372371,0.13627644573862294,-0.26785379482886057,0.008085479712589709,0.018512857207329033,1.8222691943815759,-0.03844788881308736,-0.019732282334866954,-0.05818017114795432,0.4597341687056747,-0.23594544969652076,0.22378871900915392
PMETAL,Primary metals,-5.0,-15.7178137834191,-0.05478542522279399,-0.24647267229273873,0.0031005196418360083,0.012629227128268913,3.587886060612025,-0.04873339036221166,-0.0,-0.04873339036221166,-0.24824496771187277,-0.0,-0.24824496771187277
