sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,final_demand_share,supply_price_contrib_pct,demand_price_contrib_pct,weighted_supply_price_pct,weighted_demand_price_pct,upstream_cost_propagation_pct,total_price_contrib_pct
LEGAL,Legal services,8.5,10.0,-0.045000000000000005,0.22785714285714287,0.008327789335511319,3.515625000000001,4.984375,0.029277384382656983,0.04150882496918923,0.9744699035178267,0.07078620935184621
BROADCAST,Broadcasting and telecommunications,3.0,6.0,0.0,0.13,0.023320710846155508,-0.0,3.0,-0.0,0.06996213253846653,1.1758571556286417,0.06996213253846653
PLASTIC,Plastics and rubber products,18.0,5.0,-0.16,0.2425,0.0033159952450368324,12.121212121212121,5.878787878787879,0.040193881758022215,0.019494032652640776,4.279168079719818,0.05968791441066299
COMPDES,Computer systems design and related services,6.0,12.0,-0.03,0.21,0.009583625245016521,2.5,3.5000000000000004,0.023959063112541302,0.033542688357557825,0.7487475007429076,0.05750175147009913
FURN,Furniture and related products,11.0,4.0,-0.094,0.14333333333333334,0.004912201437179218,6.351351351351352,4.648648648648648,0.031199117236138278,0.02283509857283312,1.6435387594195068,0.0540342158089714
EDUC,Educational services,6.0,4.0,-0.033333333333333326,0.11714285714285715,0.008537904863743848,2.272727272727272,3.727272727272727,0.019404329235781465,0.031823099946681616,-0.4648194006753416,0.05122742918246308
FABMETAL,Fabricated metal products,13.0,8.0,-0.098,0.22999999999999998,0.003933417649977913,7.424242424242425,5.575757575757576,0.029202646189229967,0.021931783260482913,3.9303801145018453,0.05113442944971288
SOCIALAS,Social assistance,6.0,8.0,-0.019999999999999997,0.19333333333333333,0.007737452269311294,1.538461538461538,4.461538461538462,0.011903772722017371,0.03452094089385038,0.8262273272662555,0.04642471361586775
PERFORM,"Performing arts, spectator sports, museums",12.0,28.000000000000004,0.06666666666666668,0.27555555555555555,0.003664392938898152,-3.030303030303031,15.030303030303033,-0.0111042210269641,0.05507693629374194,1.2468161552022614,0.04397271526677784
WASTE,Waste management and remediation services,9.0,5.0,-0.065,0.17333333333333334,0.0043102551420566865,5.0,4.0,0.02155127571028343,0.017241020568226746,1.14622112335031,0.03879229627851018
PRINT,Printing and related support activities,10.0,3.0,-0.08800000000000001,0.1375,0.003864617055312013,6.666666666666668,3.333333333333334,0.025764113702080094,0.012882056851040047,2.555211126260981,0.03864617055312014
PAPER,Paper products,14.000000000000002,4.0,-0.12000000000000001,0.19714285714285718,0.002212287355581738,8.88888888888889,5.111111111111112,0.019664776494059896,0.01130724648408444,2.2570819166402742,0.030972022978144335
FEDGOVE,Federal government enterprises,6.0,2.0,-0.019999999999999997,0.12666666666666665,0.005117508834341818,1.2499999999999998,4.749999999999998,0.00639688604292727,0.024308166963123625,1.1791795155805256,0.030705053006050895
TEXTILE,Textile mills and textile product mills,12.0,4.0,-0.104,0.16999999999999998,0.0020118405407551043,7.878787878787878,4.121212121212121,0.015850864866555365,0.008291221622505885,4.277076387679659,0.02414208648906125
PUBLISH,Publishing industries (including software),4.0,12.0,-0.010000000000000002,0.19,0.0058520140512824375,0.8333333333333335,3.166666666666667,0.0048766783760686985,0.018531377829061054,1.568229850457837,0.023408056205129753
OTHERTRANS,Other transportation and support activities,12.0,14.000000000000002,-0.04999999999999999,0.29500000000000004,0.0018222075770602461,3.5714285714285707,8.42857142857143,0.006507884203786592,0.015358606720936363,2.9114355364791504,0.021866490924722953
APPAREL,Apparel and leather and allied products,8.0,5.0,-0.06,0.11846153846153847,0.0026560121515507833,3.947368421052632,4.052631578947369,0.01048425849296362,0.010763838719442649,2.4561968235210134,0.021248097212406267
MOVIE,Motion picture and sound recording industries,5.0,40.0,0.21666666666666667,0.31666666666666665,0.003866420492184329,-10.833333333333334,15.833333333333332,-0.04188622199866357,0.061218324459585215,1.1244032111322937,0.019332102460921645
RAILTRANS,Rail transportation,12.0,15.0,-0.020000000000000004,0.3342857142857143,0.001581758114415609,1.3636363636363638,10.636363636363635,0.0021569428832940124,0.016824154489693294,3.926058178592376,0.018981097372987307
FUNDS,"Funds, trusts, and other financial vehicles",4.0,6.0,-0.010000000000000002,0.12571428571428572,0.0047095637385418405,0.7407407407407408,3.259259259259259,0.0034885657322532154,0.015349689221914146,0.5567519945395318,0.018838254954167362
COMPELEC,Computer and electronic products,3.0,-4.0,-0.046,-0.003333333333333334,0.006234163530561733,3.108108108108108,-0.10810810810810811,0.01937645421661079,-0.0006739636249255927,1.8351835481748398,0.018702490591685196
ELECEQUIP,"Electrical equipment, appliances, and components",10.0,4.0,-0.084,0.14,0.0017588120953575255,6.000000000000001,4.0,0.010552872572145154,0.007035248381430102,2.1247551521679604,0.017588120953575256
TRANSIT,Transit and ground passenger transportation,6.0,20.0,0.19,0.39333333333333337,0.0026565587600506403,-10.857142857142858,16.85714285714286,-0.0288426379662641,0.04478199052656794,3.4734910884099883,0.015939352560303842
INFODATA,Information and data processing services,2.0,15.0,0.017499999999999998,0.2342857142857143,0.007937807884827725,-1.4893617021276595,3.4893617021276593,-0.011822267062509377,0.027697882832164823,0.9357245100620172,0.015875615769655446
WAREHOUSE,Warehousing and storage,11.0,10.0,-0.07,0.2528571428571429,0.00046532208759862936,5.468750000000001,5.53125,0.0025447301665550044,0.0025738127970299186,1.2741376088819416,0.005118542963584923
FARM,Farms,21.0,2.0,-0.19999999999999998,0.25,0.0,16.0,5.0,0.0,0.0,3.612938850822714,0.0
FOREST,"Forestry, fishing, and related activities",12.0,6.0,-0.09,0.22,0.0,6.9230769230769225,5.076923076923077,0.0,0.0,0.9411670093046002,0.0
PIPE,Pipeline transportation,20.0,5.0,-0.15000000000000002,0.30000000000000004,0.0,10.0,10.0,0.0,0.0,3.176993872577391,0.0
PMETAL,Primary metals,16.0,8.0,-0.10666666666666666,0.26,0.0,6.956521739130435,9.043478260869566,0.0,0.0,5.5078514659267475,0.0
WATERTRANS,Water transportation,20.0,8.0,-0.14666666666666667,0.3,0.0,9.565217391304348,10.434782608695652,0.0,0.0,4.474253837480185,0.0
WOOD,Wood products,9.0,6.0,-0.066,0.15666666666666668,0.0,4.852941176470589,4.147058823529412,0.0,0.0,2.280375472787149,0.0
NMMIN,Nonmetallic mineral products,14.000000000000002,6.0,-0.11000000000000001,0.22571428571428573,0.0,8.148148148148149,5.851851851851852,0.0,0.0,3.003395792241945,0.0
MINE,"Mining, except oil and gas",18.0,8.0,-0.12666666666666665,0.31333333333333335,0.0,9.047619047619046,8.952380952380953,0.0,0.0,1.7303806463861624,0.0
MINE_SUP,Support activities for mining,15.0,15.0,-0.075,0.3642857142857143,0.0,5.555555555555555,9.444444444444446,0.0,0.0,3.28157204326901,0.0
OILGAS,Oil and gas extraction,39.0,12.0,-0.31,0.63,0.0,23.25,15.75,0.0,0.0,1.3317416347513482,0.0
UTIL,Utilities,15.5,3.0,-0.095,0.22999999999999998,0.0,5.277777777777778,10.222222222222223,0.0,0.0,4.48545154530804,0.0
