Sector,Output Chg (%),Price Chg (%),Supply Shock,Demand Shock,Domar Weight,Leontief Mult.,Supply → GDP (%),Demand → GDP (%),Total → GDP (%)
Fabricated metal products,-11.8485860154466,-2.0,-0.0273943440617864,-0.16810732519308247,0.020791051377932957,2.587352277721862,-0.07644824700286108,-0.021550642468785026,-0.0979988894716461
Oil and gas extraction,-7.78340727297171,-30.0,0.2481106181801886,-0.4556681454594342,0.014160885938156823,2.756860308884494,-0.08896954284735131,-0.0,-0.08896954284735131
Hospitals,-3.56097510553346,-19.927136397424977,0.15475917515508153,-0.31797053415869847,0.04448724247856615,1.002377270149332,-0.027057046622702648,-0.05433402902699853,-0.08139107564970118
Miscellaneous manufacturing,-17.5918283789369,-36.35886584175253,0.29322134490177776,-0.5395069422068943,0.009268958643881511,1.2091781886209156,-0.04462766947836493,-0.03643849764685238,-0.08106616712521732
Support activities for mining,-25.035980252698497,-5.0,-0.07517990126349249,-0.4076568607528357,0.004266811349821314,1.0878880363048642,-0.014272062062580375,-0.06326920278934262,-0.07754126485192299
Broadcasting and telecommunications,-3.29872514501539,-3.9715206337469637,0.023221580612392687,-0.09469395875439282,0.04689910889236995,1.956147182855,-0.03330661550034899,-0.04214669998447954,-0.07545331548482853
Transit and ground passenger transportation,-39.366535416035696,-80.0,0.30791830729955383,-1.456108923600595,0.003220054007799895,1.1147655451983653,-0.028274256159225186,-0.04660369684236462,-0.07487795300158981
Management of companies and enterprises,-3.6227951137966397,-1.0,-0.008113975568983198,-0.06175421591138057,0.034970399720480314,3.67980296514479,-0.06790642805135494,-0.0036476085079900733,-0.07155403655934502
Legal services,-4.745164028611399,-1.5,-0.003980656114445598,-0.08278805755159142,0.017833462902820004,1.8107564045709188,-0.011559422817119323,-0.05208150603881943,-0.06364092885593876
Truck transportation,-7.195636278372371,-16.505899085211244,0.13627644573862294,-0.26785379482886057,0.018512857207329033,1.8222691943815759,-0.03844788881308736,-0.019732282334866954,-0.05818017114795432
Primary metals,-15.7178137834191,-5.0,-0.05478542522279399,-0.24647267229273873,0.012629227128268913,3.587886060612025,-0.04873339036221166,-0.0,-0.04873339036221166
Computer systems design and related services,-3.0317696941570897,1.0,-0.017579424235392726,-0.02789712117696362,0.01958018377466242,1.7368042080208537,-0.03195214866190441,-0.012790886704239392,-0.0447430353661438
